case_id,title,date,status,amount,detail,link,link_detail
A5040,單親爸癌病重 「本想照顧長輩 變成他們顧我」,2020/12/10,已結案,1232677,明細,https://tw.appledaily.com/headline/20201210/UT4HPF52J5FYFNTPV7WNEDHKYQ/,https://tw.feature.appledaily.com/charity/projdetail/A5040
A5039,單親子摔成癱 顏損嬤扛顧2孫「很艱困」,2020/12/09,已結案,1366293,明細,https://tw.appledaily.com/headline/20201209/UOC55IIV5RAWLKZENXX3QHY3LI/,https://tw.feature.appledaily.com/charity/projdetail/A5039
A5038,癌男失語難再撐家 盼好起不連累妻小,2020/12/07,已結案,1255453,明細,https://tw.appledaily.com/headline/20201207/BUOFHTL62FHNBNU7YWDM25I6VE/,https://tw.feature.appledaily.com/charity/projdetail/A5038
A5037,癌男努力求活 妻憂幼子要爸爸「我給不了」,2020/12/04,已結案,1226657,明細,https://tw.appledaily.com/headline/20201204/BD5IGLQGEBGRRIPZEMUUCROHPU/,https://tw.feature.appledaily.com/charity/projdetail/A5037
A5036,壯男罹腦癌 病母把屎尿「很對不起她」,2020/12/03,已結案,1172819,明細,https://tw.appledaily.com/headline/20201203/IPGFJOBRHRFCVKJKCMHSN6ZSUI/,https://tw.feature.appledaily.com/charity/projdetail/A5036
A5035,男下咽癌復發失語 憂2女才讀小學,2020/12/02,已結案,1625581,明細,https://tw.appledaily.com/headline/20201202/UUY3LT2N3RGQTLQMFEAKV5CYTM/,https://tw.feature.appledaily.com/charity/projdetail/A5035
A5034,婦腸癌轉肺憂拖累家人 夫做工「一起面對」,2020/12/01,已結案,946085,明細,https://tw.appledaily.com/headline/20201201/K76BWOAU5BEONFNI3KBNVRI7BA/,https://tw.feature.appledaily.com/charity/projdetail/A5034
A5033,癌末爸撐病體賣水果 「兒子才小三」,2020/11/30,已結案,1386508,明細,https://tw.appledaily.com/headline/20201130/ILGHMKAFRFFFVBEBIKNIB4FLOA/,https://tw.feature.appledaily.com/charity/projdetail/A5033
A5032,婦顧癌夫3子女愁落淚 「再苦還是要盡力擔」,2020/11/27,已結案,1442767,明細,https://tw.appledaily.com/headline/20201127/GLAQQCVAJ5EM7H35JZYUHEPX6A/,https://tw.feature.appledaily.com/charity/projdetail/A5032
A5031,單親媽卵巢癌轉移小腦　擁小六女「奮力一搏」,2020/11/26,已結案,1526451,明細,https://tw.appledaily.com/headline/20201126/DZ7DHSTRUZA7VHBKCFD6II7VE4/,https://tw.feature.appledaily.com/charity/projdetail/A5031
A5030,肩傷婦顧癌夫撐5口 「家一個都不能少啊」,2020/11/25,已結案,1033858,明細,https://tw.appledaily.com/headline/20201125/LMCT4XRRHVGMXAHYJO2Q62OWNU/,https://tw.feature.appledaily.com/charity/projdetail/A5030
A5029,男罹癌 憂母殘障同居人精障「家撐不住」,2020/11/24,已結案,810340,明細,https://tw.appledaily.com/headline/20201124/F5FQ2I5YNVDAHH3ZUD72G7ZSSY/,https://tw.feature.appledaily.com/charity/projdetail/A5029
A5028,妻女皆癌逝 翁獨自撐顧2幼孫「要堅強」,2020/11/23,已結案,2148224,明細,https://tw.appledaily.com/headline/20201123/JKKL2YNX3BCLPJCTJSLNWSFQZQ/,https://tw.feature.appledaily.com/charity/projdetail/A5028
A5027,夫突重癱 妻面對考驗「但想到生計仍心慌」,2020/11/20,已結案,805095,明細,https://tw.appledaily.com/headline/20201120/CXHTFHH6TRG7LONMWR2OTTQAKA/,https://tw.feature.appledaily.com/charity/projdetail/A5027
A5026,3歲女相依單親癌母 扮醫生心疼「媽媽痛痛」,2020/11/19,已結案,2008209,明細,https://tw.appledaily.com/headline/20201119/QOSRJDEZHRA65NY2T5VNFM4NQQ/,https://tw.feature.appledaily.com/charity/projdetail/A5026
A5025,男助父扛6口未料中風半癱 自責拖累家人,2020/11/18,已結案,964258,明細,https://tw.appledaily.com/headline/20201118/CSOPF25DJZGFFMTZB5LJ3PIY2Y/,https://tw.feature.appledaily.com/charity/projdetail/A5025
A5024,農夫罹癌憂家倒 一心裁培子女「再給我幾年」,2020/11/16,已結案,908356,明細,https://tw.appledaily.com/headline/20201116/GO3SOX3S6BBM3ATQZXK4QCYGM4/,https://tw.feature.appledaily.com/charity/projdetail/A5024
A5023,妻突癱 病夫不捨「為我擔憂才累倒」,2020/11/13,已結案,907249,明細,https://tw.appledaily.com/headline/20201113/ORORDP72TBFPBEJY3VSM7YEVZ4/,https://tw.feature.appledaily.com/charity/projdetail/A5023
A5022,大三男工讀力撐3口 要「癌父妹妹安心」,2020/11/12,已結案,2204801,明細,https://tw.appledaily.com/headline/20201112/GQAKVDWBDRCYNM5PASRWXGZEPE/,https://tw.feature.appledaily.com/charity/projdetail/A5022
A5021,女車禍帶傷顧癌母 「父已癌逝 很心酸」,2020/11/11,已結案,876718,明細,https://tw.appledaily.com/headline/20201111/3Y2J6FC62ZGTJDQBVV2PYI6BQE/,https://tw.feature.appledaily.com/charity/projdetail/A5021
